meshcode,option1,option2,option3,option4,option5,option6,value
53391591,14,14102,2019,12,1,1,16087
53391591,14,14102,2019,12,1,2,12542
53391591,14,14102,2019,12,2,0,10161
53391591,14,14102,2019,12,2,1,16108
53391591,14,14102,2019,12,2,2,13149
53391592,14,14102,2019,12,0,0,9748
53391592,14,14102,2019,12,0,1,12949
53391592,14,14102,2019,12,0,2,11470
53391592,14,14102,2019,12,1,0,5929
53391592,14,14102,2019,12,1,1,12456
53391592,14,14102,2019,12,1,2,9148
53391592,14,14102,2019,12,2,0,7038
53391592,14,14102,2019,12,2,1,12599
53391592,14,14102,2019,12,2,2,9822
53392501,14,14102,2019,12,0,0,10037
53392501,14,14102,2019,12,0,1,13260
53392501,14,14102,2019,12,0,2,11731
53392501,14,14102,2019,12,1,0,5515
53392501,14,14102,2019,12,1,1,12555
53392501,14,14102,2019,12,1,2,8958
53392501,14,14102,2019,12,2,0,6828
53392501,14,14102,2019,12,2,1,12760
53392501,14,14102,2019,12,2,2,9763
53391438,14,14103,2019,12,0,0,9210
53391438,14,14103,2019,12,0,1,12236
53391438,14,14103,2019,12,0,2,10810
53391438,14,14103,2019,12,1,0,7130
53391438,14,14103,2019,12,1,1,12574
53391438,14,14103,2019,12,1,2,9894
53391438,14,14103,2019,12,2,0,7734
53391438,14,14103,2019,12,2,1,12476
53391438,14,14103,2019,12,2,2,10160
53391439,14,14103,2019,12,0,0,8749
53391439,14,14103,2019,12,0,1,10483
53391439,14,14103,2019,12,0,2,9338
53391439,14,14103,2019,12,1,0,5660
53391439,14,14103,2019,12,1,1,9966
53391439,14,14103,2019,12,1,2,7737
53391439,14,14103,2019,12,2,0,6557
53391439,14,14103,2019,12,2,1,10116
53391439,14,14103,2019,12,2,2,8202
53391448,14,14103,2019,12,0,0,20676
53391448,14,14103,2019,12,0,1,19643
53391448,14,14103,2019,12,0,2,20144
53391448,14,14103,2019,12,1,0,16400
53391448,14,14103,2019,12,1,1,19398
53391448,14,14103,2019,12,1,2,18671
53391448,14,14103,2019,12,2,0,17641
53391448,14,14103,2019,12,2,1,19469
53391448,14,14103,2019,12,2,2,19098
53391449,14,14103,2019,12,0,0,19112
53391449,14,14103,2019,12,0,1,21641
53391449,14,14103,2019,12,0,2,20470
53391449,14,14103,2019,12,1,0,16688
53391449,14,14103,2019,12,1,1,21806
53391449,14,14103,2019,12,1,2,19493
53391449,14,14103,2019,12,2,0,17392
53391449,14,14103,2019,12,2,1,21758
53391449,14,14103,2019,12,2,2,19777
53391458,14,14103,2019,12,0,0,15104
53391458,14,14103,2019,12,0,1,18004
53391458,14,14103,2019,12,0,2,16524
53391458,14,14103,2019,12,1,0,10234
53391458,14,14103,2019,12,1,1,17031
53391458,14,14103,2019,12,1,2,13327
53391458,14,14103,2019,12,2,0,11648
53391458,14,14103,2019,12,2,1,17313
53391458,14,14103,2019,12,2,2,14255
